x,y,z,u_x,u_y,u_z,F_i,F_true
-0.1704008,-0.30162594,0.2369615,0.1215784,0.00073158974,0.0036412305,0.0047141854,-0.021525586
0.1063454,0.2720595,-0.44656652,0.1215784,0.00073158974,0.0036412305,0.008981344,-0.021525586
-0.2695629,0.046856165,0.44914508,0.1215784,0.00073158974,0.0036412305,0.0037696883,-0.021525586
-0.1823662,0.2653722,-0.08849746,0.1215784,0.00073158974,0.0036412305,-0.0010044873,-0.021525586
-0.4459497,0.04344929,0.12643434,0.1215784,0.00073158974,0.0036412305,-0.01398338,-0.021525586
0.449216,-0.31772208,-0.1608488,0.1215784,0.00073158974,0.0036412305,-0.0017918348,-0.021525586
0.4189309,0.28421277,-0.2905604,0.1215784,0.00073158974,0.0036412305,0.00070163794,-0.021525586
0.1659326,-0.08816417,0.13453156,0.1215784,0.00073158974,0.0036412305,-0.018366056,-0.021525586
-0.05287003,-0.106714614,-0.11695187,0.1215784,0.00073158974,0.0036412305,-0.017397182,-0.021525586
-0.04733061,0.47281632,-0.13910475,0.1215784,0.00073158974,0.0036412305,0.0075030625,-0.021525586
-0.3979243,-0.07782239,0.59945065,0.1215784,0.00073158974,0.0036412305,0.0056004114,-0.021525586
0.1172375,0.39770982,-0.106397584,0.1215784,0.00073158974,0.0036412305,0.006122008,-0.021525586
-0.02967318,-0.411384,0.21852939,0.1215784,0.00073158974,0.0036412305,0.008080497,-0.021525586
0.4151465,0.6211139,0.1224954,0.1215784,0.00073158974,0.0036412305,0.0041667055,-0.021525586
0.005699234,-0.52711177,-0.15688446,0.1215784,0.00073158974,0.0036412305,0.008427061,-0.021525586
-0.2455422,-0.19443366,-0.17913696,0.1215784,0.00073158974,0.0036412305,-0.005569944,-0.021525586
0.3009985,-0.15374434,0.5719348,0.1215784,0.00073158974,0.0036412305,0.0040469132,-0.021525586
0.3819641,-0.36191997,0.1263156,0.1215784,0.00073158974,0.0036412305,-0.00012040883,-0.021525586
-0.2438231,0.1102409,0.08567019,0.1215784,0.00073158974,0.0036412305,-0.02262621,-0.021525586
-0.01186657,0.18252061,0.05934097,0.1215784,0.00073158974,0.0036412305,-0.00918569,-0.021525586
-0.1113798,-0.30392152,-0.27677634,0.1215784,0.00073158974,0.0036412305,0.007078748,-0.021525586
-0.3671511,0.24883123,0.2767221,0.1215784,0.00073158974,0.0036412305,-2.515316e-05,-0.021525586
0.3708903,-0.09444173,0.14627753,0.1215784,0.00073158974,0.0036412305,-0.014862221,-0.021525586
-0.4255483,0.04336359,-0.16301346,0.1215784,0.00073158974,0.0036412305,-0.012009268,-0.021525586
-0.1915127,-0.59777874,-0.19233356,0.1215784,0.00073158974,0.0036412305,0.0049341675,-0.021525586
0.07583762,0.46901393,0.24924272,0.1215784,0.00073158974,0.0036412305,0.00830248,-0.021525586
-0.4603983,-0.2058096,-0.20332646,0.1215784,0.00073158974,0.0036412305,-0.0053460635,-0.021525586
0.1411018,-0.14318486,0.41827416,0.1215784,0.00073158974,0.0036412305,0.006802421,-0.021525586
0.3991739,0.03155069,0.3294344,0.1215784,0.00073158974,0.0036412305,-0.0013621897,-0.021525586
-0.1341654,-0.34720308,-0.073269755,0.1218535,-0.0028146661,-0.0063583986,0.004612498,-0.027860785
-0.3343098,-0.0058899783,0.09592268,0.1218535,-0.0028146661,-0.0063583986,-0.023332426,-0.027860785
-0.1136136,-0.018446323,-0.13937229,0.1218535,-0.0028146661,-0.0063583986,-0.019468702,-0.027860785
0.1135294,0.41050625,-0.15893735,0.1218535,-0.0028146661,-0.0063583986,0.007151395,-0.027860785
0.2106173,-0.33524153,0.15268806,0.1218535,-0.0028146661,-0.0063583986,0.003801085,-0.027860785
0.01647802,0.1764939,0.30746308,0.1218535,-0.0028146661,-0.0063583986,0.0055838637,-0.027860785
0.4675834,0.11272832,0.20430271,0.1218535,-0.0028146661,-0.0063583986,-0.0062545408,-0.027860785
-0.1509575,-0.49273968,0.13698658,0.1218535,-0.0028146661,-0.0063583986,0.0068590827,-0.027860785
0.4172933,0.022795975,-0.2373936,0.1218535,-0.0028146661,-0.0063583986,-0.007807903,-0.027860785
