r,theta,phi,u_x,u_y,u_z,F_i,F_true
0.52610534,1.1653072,0.3389345,0.1174069,0.0052536745,0.007154126,-0.10302284,0.01205541
0.25477543,0.6752848,-1.7683543,0.1174069,0.0052536745,0.007154126,0.18196483,0.01205541
0.23228481,1.8805625,-2.2060308,0.1174069,0.0052536745,0.007154126,0.023337334,0.01205541
0.41202113,1.3873738,2.6234622,0.1174069,0.0052536745,0.007154126,-0.117310114,0.01205541
0.5765455,1.0005443,-0.54633933,0.1174069,0.0052536745,0.007154126,-0.07691017,0.01205541
0.7444512,2.2013886,1.9338062,0.1174069,0.0052536745,0.007154126,-0.07749215,0.01205541
0.26468268,0.7968969,1.4405087,0.1174069,0.0052536745,0.007154126,0.10879426,0.01205541
0.3907083,1.8900715,0.41357702,0.1174069,0.0052536745,0.007154126,-0.10111374,0.01205541
0.3938493,2.0834212,-2.4363534,0.1174069,0.0052536745,0.007154126,-0.06767003,0.01205541
0.49691698,2.029558,-1.3631623,0.1174069,0.0052536745,0.007154126,-0.09533483,0.01205541
0.62214226,0.97578114,0.47906932,0.1174069,0.0052536745,0.007154126,-0.076039895,0.01205541
0.54883415,2.083762,-0.921122,0.1174069,0.0052536745,0.007154126,-0.08819857,0.01205541
0.6974802,1.6884644,-2.8595839,0.1174069,0.0052536745,0.007154126,-0.10073653,0.01205541
0.22325857,2.4990063,-2.8616378,0.1174069,0.0052536745,0.007154126,0.24832857,0.01205541
0.71534675,1.3071446,-1.308357,0.1174069,0.0052536745,0.007154126,-0.090809435,0.01205541
0.44490144,1.7322803,-0.753903,0.1174069,0.0052536745,0.007154126,-0.12860307,0.01205541
0.54583585,1.768091,-3.0585277,0.1174069,0.0052536745,0.007154126,-0.12386468,0.01205541
0.47115543,2.277423,0.5233386,0.1174069,0.0052536745,0.007154126,-0.03709662,0.01205541
0.4045306,0.71454537,0.55681044,0.1174069,0.0052536745,0.007154126,0.02809991,0.01205541
0.48414522,1.2312715,-2.684983,0.1174069,0.0052536745,0.007154126,-0.11078438,0.01205541
0.56492335,1.1371589,2.3262131,0.1174069,0.0052536745,0.007154126,-0.09823921,0.01205541
0.73528236,2.0722256,-2.936457,0.1174069,0.0052536745,0.007154126,-0.08108708,0.01205541
